Title,Rating,Votes,GrossInM,Metascore,Certificate,Director,Year,Runtime
Sen to Chihiro no kamikakushi,8.6,747148,10.06,96,U,Hayao Miyazaki,2001,125
The Lion King,8.5,1041158,422.78,88,U,Roger Allers,1994,88
Hotaru no haka,8.5,272469,,94,U,Isao Takahata,1988,89
Kimi no na wa.,8.4,259975,5.02,79,U,Makoto Shinkai,2016,106
Spider-Man: Into the Spider-Verse,8.4,510227,190.24,87,U,Bob Persichetti,2018,117
Coco,8.4,492081,209.73,81,U,Lee Unkrich,2017,105
WALL·E,8.4,1100175,223.81,95,U,Andrew Stanton,2008,98
Mononoke-hime,8.4,388925,2.38,76,U,Hayao Miyazaki,1997,134
Up,8.3,1029395,293.00,88,U,Pete Docter,2009,96
Toy Story 3,8.3,826193,415.00,92,U,Lee Unkrich,2010,103
Toy Story,8.3,979994,191.80,95,U,John Lasseter,1995,81
Inside Out,8.2,701106,356.46,94,U,Pete Docter,2015,95
Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,55255,,72,UA,Haruo Sotozaki,2020,117
Hauru no ugoku shiro,8.2,387977,4.71,80,U,Hayao Miyazaki,2004,119
Finding Nemo,8.2,1031038,380.84,90,U,Andrew Stanton,2003,100
Koe no katachi,8.1,78876,,78,16,Naoko Yamada,2016,130
Klaus,8.1,146042,,65,7,Sergio Pablos,2019,96
Ôkami kodomo no Ame to Yuki,8.1,44668,,71,U,Mamoru Hosoda,2012,117
Mary and Max.,8.1,176615,,80,Unknown,Adam Elliot,2009,92
How to Train Your Dragon,8.1,730922,217.58,75,U,Dean DeBlois,2010,98
Ratatouille,8.1,721458,206.45,96,U,Brad Bird,2007,111
Monsters, Inc.,8.1,896964,289.92,79,U,Pete Docter,2001,92
The Iron Giant,8.1,192045,23.16,85,U,Brad Bird,1999,86
Tonari no Totoro,8.1,333845,1.11,86,U,Hayao Miyazaki,1988,86
WolfWalkers,8.0,31618,,87,UA,Tomm Moore,2020,103
Soul,8.0,319513,,83,U,Pete Docter,2020,100
Zootopia,8.0,490842,,78,U,Byron Howard,2016,108
Kaguya-hime no Monogatari,8.0,46319,,89,U,Isao Takahata,2013,137
Song of the Sea,8.0,58124,,85,PG,Tomm Moore,2014,93
Persepolis,8.0,94517,,90,PG-13,Vincent Paronnaud,2007,96
The Incredibles,8.0,725314,261.44,90,U,Brad Bird,2004,115
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni,8.0,53842,,80,Not Rated,Hideaki Anno,1997,87
Pâfekuto burû,8.0,74701,,80,A,Satoshi Kon,1997,81
Aladdin,8.0,412772,217.35,86,U,Ron Clements,1992,90
Beauty and the Beast,8.0,450780,,95,U,Gary Trousdale,1991,84
Akira,8.0,184356,,67,UA,Katsuhiro Ôtomo,1988,124
Tenkû no shiro Rapyuta,8.0,165250,,78,U,Hayao Miyazaki,1986,125
Kaze no tani no Naushika,8.0,168233,,86,U,Hayao Miyazaki,1984,117
Fantastic Mr. Fox,7.9,228963,,83,U,Wes Anderson,2009,87
Shrek,7.9,668156,,84,U,Andrew Adamson,2001,90
Toy Story 2,7.9,574778,,88,U,John Lasseter,1999,92
Mimi wo sumaseba,7.9,62107,,75,U,Yoshifumi Kondô,1995,111
Kôkaku Kidôtai,7.9,142032,,76,UA,Mamoru Oshii,1995,83
The Nightmare Before Christmas,7.9,330540,,82,U,Henry Selick,1993,76
Doragon bôru chô: Burorî,7.8,27232,,59,UA,Tatsuya Nagamine,2018,100
Isle of Dogs,7.8,166539,,82,U,Wes Anderson,2018,101
Loving Vincent,7.8,57727,,62,UA,Dorota Kobiela,2017,94
Big Hero 6,7.8,456307,,74,U,Don Hall,2014,102
How to Train Your Dragon 2,7.8,332536,,77,U,Dean DeBlois,2014,102
Tôkyô goddofâzâzu,7.8,39951,,73,UA,Satoshi Kon,2003,90
Sennen joyû,7.8,27967,.19,70,PG,Satoshi Kon,2001,87
Cowboy Bebop: Tengoku no tobira,7.8,48674,1.00,61,U,Shin'ichirô Watanabe,2001,115
Jûbê ninpûchô,7.8,37510,,80,A,Yoshiaki Kawajiri,1993,94
Batman: Mask of the Phantasm,7.8,50800,5.62,65,PG,Kevin Altieri,1993,76
Majo no takkyûbin,7.8,143013,,83,U,Hayao Miyazaki,1989,103
Kubo and the Two Strings,7.7,128540,48.02,84,U,Travis Knight,2016,101
The Breadwinner,7.7,25319,.31,78,U,Nora Twomey,2017,94
Omoide no Mânî,7.7,40332,.77,72,U,Hiromasa Yonebayashi,2014,103
Ma vie de Courgette,7.7,25421,.29,85,PG-13,Claude Barras,2016,66
Kaze tachinu,7.7,85123,5.21,83,Not Rated,Hayao Miyazaki,2013,126
Toy Story 4,7.7,245779,434.04,84,U,Josh Cooley,2019,100
Wreck-It Ralph,7.7,418352,189.42,72,U,Rich Moore,2012,101
Le Petit Prince,7.7,61997,1.34,70,PG,Mark Osborne,2015,108
The Lego Movie,7.7,352065,257.76,83,U,Phil Lord,2014,100
Papurika,7.7,82642,.88,81,U,Satoshi Kon,2006,90
Toki o kakeru shôjo,7.7,66081,,80,U,Mamoru Hosoda,2006,98
Tangled,7.7,447447,200.82,71,U,Nathan Greno,2010,100
Coraline,7.7,224221,75.29,80,U,Henry Selick,2009,100
Les triplettes de Belleville,7.7,54466,7.00,91,PG-13,Sylvain Chomet,2003,80
Waking Life,7.7,64147,2.89,83,R,Richard Linklater,2001,99
South Park: Bigger, Longer & Uncut,7.7,204110,52.04,73,A,Trey Parker,1999,81
Kurenai no buta,7.7,89026,,83,U,Hayao Miyazaki,1992,94
Who Framed Roger Rabbit,7.7,200051,156.45,83,U,Robert Zemeckis,1988,104
La planète sauvage,7.7,31226,.19,73,U,René Laloux,1973,72
Fantasia,7.7,96094,76.41,96,U,James Algar,1940,125
The Mitchells vs the Machines,7.6,105707,,81,13,Michael Rianda,2021,114
Incredibles 2,7.6,292218,608.58,80,UA,Brad Bird,2018,118
Moana,7.6,329295,248.76,81,U,Ron Clements,2016,107
Despicable Me,7.6,542379,251.51,72,U,Pierre Coffin,2010,95
Gake no ue no Ponyo,7.6,142408,15.09,86,U,Hayao Miyazaki,2008,101
Kung Fu Panda,7.6,463897,215.43,74,U,Mark Osborne,2008,92
Mulan,7.6,284542,120.62,71,U,Tony Bancroft,1998,88
The Little Mermaid,7.6,260026,111.54,88,U,Ron Clements,1989,83
The Jungle Book,7.6,181528,141.84,65,U,Wolfgang Reitherman,1967,78
Snow White and the Seven Dwarfs,7.6,197860,184.93,95,U,William Cottrell,1937,83
